,相談年月日,相談区分,対応言語名,相談概要,相談方法
1,2025/12/1,雇労（その他）,ポルトガル語,離職票の表記について,電話
2,2025/12/1,出産・子育て全般,ベトナム語,不妊治療の補助金の申請について,電話
3,2025/12/1,その他,タガログ語,保険についての相談,電話
4,2025/12/1,ＤＶ,タガログ語,DV 被害者の相談　,電話
5,2025/12/1,その他,日本語（フィリピン）,フィリピン人の相談について,電話
6,2025/12/1,医療,日本語（ブラジル）,連絡通訳依頼,電話
7,2025/12/1,入管手続,スペイン語,在留資格の相談,電話
8,2025/12/1,税金,ポルトガル語,自動車税,電話
9,2025/12/1,その他,スペイン語,パスポートについて,電話
10,2025/12/1,結婚・離婚,スペイン語,夫婦関係について,電話
11,2025/12/2,その他,ポルトガル語,生活保護の担当者について,電話
12,2025/12/2,その他,タガログ語,連絡についての相談,電話
13,2025/12/2,雇労（その他）,ポルトガル語,嫌がらせと解雇,電話
14,2025/12/3,結婚・離婚,ポルトガル語,妻と今後のことについて話したい,電話
15,2025/12/3,交通・運転免許,日本語（その他）,外免の切り替えについて,電話
16,2025/12/3,その他,ポルトガル語,米支援について,電話
17,2025/12/3,交通・運転免許,ポルトガル語,受診について,電話
18,2025/12/3,社会保険,ベトナム語,傷病手当金支給申請の手続き,電話
19,2025/12/3,結婚・離婚,タガログ語,法テラスの規定書について,来所
20,2025/12/3,教育全般,日本語（ブラジル）,保護者との連絡について,電話
21,2025/12/4,医療,日本語（その他）,英語対応可の精神科,電話
22,2025/12/4,教育全般,ポルトガル語,教員への伝言,E-Mail
23,2025/12/4,教育全般,日本語（ブラジル）,年内の会議日時について（至急）,電話
24,2025/12/4,社会保険,スペイン語,特定保健指導について,来所
25,2025/12/4,雇労（その他）,スペイン語,給与証明書兼同意書について,来所
26,2025/12/5,社会保険,ポルトガル語,資格確認書について,電話
27,2025/12/5,医療,日本語（その他）,初診時の同行通訳について,電話
28,2025/12/8,社会保険,ポルトガル語,傷病手当の請求書,電話
29,2025/12/8,教育全般,日本語（ブラジル）,保護者と話したい,電話
30,2025/12/8,その他,ポルトガル語,給湯器の購入,来所
31,2025/12/8,その他,日本語（その他）,ウクライナ人への相談対応,電話
32,2025/12/8,医療,日本語（ペルー）,入院している父の今後について,来所
33,2025/12/8,教育全般,日本語（ブラジル）,進路相談の予定について,電話
34,2025/12/8,通訳・翻訳,日本語（ブラジル）,学童保育所の便り,電話
35,2025/12/8,求職・雇用,日本語（その他）,募集シートについて,電話
36,2025/12/8,結婚・離婚,スペイン語,夫婦関係について,電話
37,2025/12/9,教育全般,ポルトガル語,教育費,電話
38,2025/12/9,教育全般,日本語（中国）,高校進学について,来所
39,2025/12/9,入管手続,ポルトガル語,在留資格の手数料について,電話
40,2025/12/9,雇労（その他）,ベトナム語,給料を支払わないことについて,電話
41,2025/12/10,年金,タガログ語,年金を現金で受け取ることはできるか,電話
42,2025/12/10,その他,タガログ語,行き方を教えてほしい,電話
43,2025/12/10,雇労（その他）,タガログ語,仕事に関する不満,その他
44,2025/12/10,社会保険,ポルトガル語,傷病手当金について,電話
45,2025/12/11,その他,ポルトガル語,家族や知的障害の息子たちについて,電話
46,2025/12/11,医療,ポルトガル語,心臓の疾患について,電話
47,2025/12/11,入管手続,日本語（日本）,新生児の在留資格について,電話
48,2025/12/11,医療,日本語（ベトナム）,受診中のベトナム語通訳について,電話
49,2025/12/11,年金,タガログ語,15日に年金を引き出せるかどうか,電話
50,2025/12/11,その他,英語,アプリの登録の手伝い,来所
51,2025/12/11,その他,ポルトガル語,弁護士相談,電話
52,2025/12/12,その他,ポルトガル語,自転車抹消手続きについて,E-Mail
53,2025/12/12,入管手続,スペイン語,在留資格認定証明書について,電話
54,2025/12/12,その他,ポルトガル語,ゆうちょう銀行窓口で通訳について,電話
55,2025/12/12,年金,タガログ語,年金振り込まれているかの確認,電話
56,2025/12/12,住宅,タガログ語,友達が住まいについて困ってる,電話
57,2025/12/12,税金,タガログ語,納税課税証明書,E-Mail
58,2025/12/12,出産・子育て全般,タガログ語,日本に呼ぶ場合の必要書類と手続き,来所
59,2025/12/12,雇労（その他）,タガログ語,雇用契約の違いについて,来所
60,2025/12/15,入管手続,ポルトガル語,在留資格取得,電話
61,2025/12/15,医療,日本語（フィリピン）,医療通訳について,電話
62,2025/12/15,税金,タガログ語,納税課税証明書,E-Mail
63,2025/12/15,その他,タガログ語,給料について,電話
64,2025/12/15,住宅,日本語（ベトナム）,住民の迷惑行為,電話
65,2025/12/15,教育全般,日本語（ブラジル）,保護者との連絡について,電話
66,2025/12/15,交通・運転免許,スペイン語,諸制度について,電話
67,2025/12/16,その他,ポルトガル語,警察からの呼び出しについて,電話
68,2025/12/16,その他,スペイン語,appleの請求書について,電話
69,2025/12/16,入管手続,スペイン語,ビザの更新について,電話
70,2025/12/17,求職・雇用,スペイン語,失業保険について,電話
71,2025/12/17,その他,ポルトガル語,ガス給湯器について,来所
72,2025/12/17,ＤＶ,タガログ語,入国管理局に繋いでほしい,電話
73,2025/12/17,結婚・離婚,タガログ語,弁護士に繋いでほしい,電話
74,2025/12/17,その他,タガログ語,相談センターの行き方をと他の相談窓口を教えてほしい,E-Mail
75,2025/12/17,入管手続,スペイン語,在留カード等について,電話
76,2025/12/17,社会保険,スペイン語,社会保険料について,電話
77,2025/12/17,税金,スペイン語,税金について,電話
78,2025/12/18,雇労（その他）,ポルトガル語,書類の内容について,来所
79,2025/12/18,入管手続,ポルトガル語,在留資格認定証明書について,電話
80,2025/12/18,その他,ポルトガル語,ガス給湯器について,来所
81,2025/12/18,結婚・離婚,スペイン語,世帯分離について,電話
82,2025/12/19,その他,日本語（その他）,法律相談希望,電話
83,2025/12/19,入管手続,日本語（その他）,技能実習生に関する入管手続き,電話
84,2025/12/19,税金,ポルトガル語,年末調整について,電話
85,2025/12/19,交通・運転免許,スペイン語,検察庁からの呼び出しについて,電話
86,2025/12/19,住宅,スペイン語,トイレの工事について,電話
87,2025/12/19,結婚・離婚,スペイン語,市役所で離婚手続きについて,電話
88,2025/12/19,その他,ポルトガル語,ガス給湯器について,電話
89,2025/12/19,住宅,スペイン語,住宅ローンについて,電話
90,2025/12/19,住宅,日本語（ベトナム）,住民の迷惑行為,E-Mail
