,相談年月日,相談区分,対応言語名,相談概要,相談方法
91,2025/12/22,住宅,日本語（ベトナム）,隣人の迷惑行為,E-Mail
92,2025/12/22,年金,ポルトガル語,障害年金申請,電話
93,2025/12/22,住宅,タガログ語,県営住宅応募について,来所
94,2025/12/22,その他,タガログ語,相談者と支援者のコミュニケーション不足,来所
95,2025/12/22,その他,スペイン語,役所の対応について,電話
96,2025/12/22,医療,スペイン語,娘の病状,電話
97,2025/12/22,社会保険,ポルトガル語,傷病手当について,電話
98,2025/12/22,その他,ポルトガル語,障がい者手帳の更新について,電話
99,2025/12/23,教育全般,日本語（ブラジル）,保護者への連絡,電話
100,2025/12/23,その他,タガログ語,Kyoto YWCA-APTに繋いでほしい,電話
101,2025/12/23,住宅,タガログ語,県営住宅申請書について,電話
102,2025/12/23,出産・子育て全般,タガログ語,出産一時金について,その他
103,2025/12/23,その他,ポルトガル語,法律相談について,電話
104,2025/12/24,交通・運転免許,日本語（ブラジル）,障がい者の駐車許可,電話
105,2025/12/24,その他,ポルトガル語,法律相談について,電話
106,2025/12/24,ＤＶ,ポルトガル語,保護について,電話
107,2025/12/24,社会保険,ポルトガル語,傷病手当金申請について,電話
108,2025/12/24,税金,日本語（ネパール）,国民健康保険料の納付について,電話
109,2025/12/24,年金,タガログ語,年金の受けとり時期,電話
110,2025/12/24,出産・子育て全般,タガログ語,共済金の請求手続きと必要な書類,電話
111,2025/12/24,その他,日本語（日本）,センターの所在地について,電話
112,2025/12/24,住宅,日本語（ペルー）,近隣トラブルについて,電話
113,2025/12/24,入管手続,ポルトガル語,諸ビザなどについて,電話
114,2025/12/25,その他,ポルトガル語,携帯電話使用料の支払いについて,電話
115,2025/12/26,その他,ポルトガル語,自殺願望がある,電話
116,2025/12/26,求職・雇用,ポルトガル語,冷凍食品の販売について,電話
117,2025/12/26,その他,ポルトガル語,法律相談について,来所
118,2025/12/26,その他,スペイン語,ボリビアのパスポートについて,電話
119,2025/12/26,社会保険,スペイン語,年金について,電話
120,2025/12/26,税金,スペイン語,自動車税と固定資産税について,電話
121,2025/12/26,結婚・離婚,英語,婚姻の届け出に必要な書類,E-Mail
