,相談年月日,相談区分,対応言語名,相談概要,相談方法
1,2025/6/2,税金,タガログ語,税金の支払,電話
2,2025/6/2,その他,タガログ語,銀行落としの支払の確認,電話
3,2025/6/2,その他,タガログ語,押収自転車について,その他
4,2025/6/2,教育全般,日本語（ブラジル）,保護者との連絡について,電話
5,2025/6/2,雇労（その他）,スペイン語,職場内での嫌がらせ,電話
6,2025/6/3,その他,日本語（その他）,不法滞在者への対応について,電話
7,2025/6/3,その他,インドネシア語,夫が家を出て生活費を入れてくれない,E-Mail
8,2025/6/3,結婚・離婚,タガログ語,書類確認の依頼,電話
9,2025/6/3,日本語学習,タガログ語,滋賀県での日本語学習,電話
10,2025/6/4,雇労（その他）,日本語（ペルー）,職場のいじめ,電話
11,2025/6/4,その他,ポルトガル語,水道メーター交換,電話
12,2025/6/4,求職・雇用,スペイン語,契約書について,電話
13,2025/6/4,交通・運転免許,ベトナム語,引越し後の自動車関連の手続きについて,電話
14,2025/6/4,入管手続,タガログ語,電話の確認,電話
15,2025/6/4,その他,タガログ語,水道とガス代の支払い,来所
16,2025/6/4,結婚・離婚,タガログ語,書類の確認,来所
17,2025/6/5,その他,インドネシア語,夫が家から出て生活費を入れてくれない,E-Mail
18,2025/6/5,DV,ポルトガル語,妻と帰国の計画作成について,電話
19,2025/6/5,医療,ポルトガル語,受診について,来所
20,2025/6/5,住宅,ポルトガル語,家賃の振り込みについて,来所
21,2025/6/5,その他,ポルトガル語,郵便物について,来所
22,2025/6/5,その他,ポルトガル語,スマホの使用について,来所
23,2025/6/5,求職・雇用,ポルトガル語,仕事探しについて,来所
24,2025/6/5,通訳・翻訳,日本語（ブラジル）,用件について,電話
25,2025/6/6,その他,インドネシア語,夫が借金のため家を出た,E-Mail
26,2025/6/6,住宅,スペイン語,損害賠償について,電話
27,2025/6/6,入管手続,日本語（フィリピン）,収入印紙について,電話
28,2025/6/6,年金,スペイン語,年金受給を増やすことについて,来所
29,2025/6/6,その他,英語,通訳を依頼について,電話
30,2025/6/6,年金,ポルトガル語,知り合いの年金手続きについて,電話
31,2025/6/6,その他,ポルトガル語,クレジットカードの返済について,電話
32,2025/6/9,入管手続,日本語（その他）,難民申請中の生活支援,E-Mail
33,2025/6/9,その他,英語,友達の日本人が生活困窮している,電話
34,2025/6/9,住宅,英語,賃貸契約の解除について,電話
35,2025/6/9,住宅,スペイン語,住む場所について,E-Mail
36,2025/6/9,教育全般,日本語（ブラジル）,保護者と話したい,電話
37,2025/6/9,その他,日本語（ブラジル）,バレーボールのサークルについて,E-Mail
38,2025/6/10,その他,ポルトガル語,クレジットカードの支払い金の調整,電話
39,2025/6/10,その他,英語,友人への支援,E-Mail
40,2025/6/11,教育全般,日本語（フィリピン）,海外のオンライン高校への転校について,電話
41,2025/6/11,教育全般,日本語（ブラジル）,保護者に連絡したい,電話
42,2025/6/11,交通・運転免許,日本語（ベトナム）,自賠責保険の受け取り,電話
43,2025/6/11,その他,日本語（その他）,難民支援,E-Mail
44,2025/6/11,交通・運転免許,ポルトガル語,自動車の免税措置について,電話
45,2025/6/11,その他,ポルトガル語,名誉棄損罪について,電話
