,相談年月日,相談区分,対応言語名,相談概要,相談方法
46,2025/6/12,入管手続,ポルトガル語,在留資格の更新について,電話
47,2025/6/12,その他,ポルトガル語,生活全般について,電話
48,2025/6/12,その他,日本語（その他）,ひこね外国人相談センターへの行き方,E-Mail
49,2025/6/12,教育全般,日本語（ブラジル）,生徒の保護者と話したい,電話
50,2025/6/12,社会保険,ポルトガル語,相談対応の可否について,電話
51,2025/6/13,入管手続,日本語（その他）,難民申請中の居場所など,E-Mail
52,2025/6/13,教育全般,日本語（ブラジル）,保護者に連絡について,電話
53,2025/6/13,労災,ポルトガル語,労災について,電話
54,2025/6/13,入管手続,日本語（日本）,永住申請について,電話
55,2025/6/13,教育全般,日本語（フィリピン）,在校生徒について,電話
56,2025/6/13,その他,日本語（ベトナム）,ベトナム語通訳について,電話
57,2025/6/13,その他,ベトナム語,ベトナム語通訳について,電話
58,2025/6/13,その他,日本語（日本）,NPO法人のリストについて,電話
59,2025/6/13,税金,英語,住民税の支払い,E-Mail
60,2025/6/13,教育全般,タガログ語,奨学金に関する問い合わせ,電話
61,2025/6/13,入管手続,タガログ語,電話の内容の確認,来所
62,2025/6/16,教育全般,日本語（フィリピン）,フィリピンのオンラインスクールについて,電話
63,2025/6/16,税金,ポルトガル語,マル福のための所得申告,電話
64,2025/6/16,交通・運転免許,日本語（ベトナム）,ベトナムでの後見人制度,電話
65,2025/6/16,雇労（その他）,ベトナム語,労災補償と後遺障害と育児休業について,電話
66,2025/6/16,住宅,タガログ語,住まいローンについて,来所
67,2025/6/16,求職・雇用,タガログ語,仕事場での悩みと仕事探しについて,来所
68,2025/6/16,出産・子育て全般,ポルトガル語,役所への問い合わせについて,電話
69,2025/6/16,教育全般,日本語（ブラジル）,確認事項について,電話
70,2025/6/16,交通・運転免許,ポルトガル語,交通事故を起こした後について,電話
71,2025/6/17,その他,ポルトガル語,障がい者認定,電話
72,2025/6/17,その他,ポルトガル語,クーラーの調節,電話
73,2025/6/17,出産・子育て全般,ポルトガル語,産後の給付金,電話
74,2025/6/17,社会保険,ポルトガル語,傷病手当,電話
75,2025/6/17,その他,ポルトガル語,クレジットカードの分割払い,電話
76,2025/6/17,通訳・翻訳,日本語（中国）,中国語の通訳を紹介してほしい,電話
77,2025/6/18,医療,スペイン語,精神科医について,電話
78,2025/6/18,その他,スペイン語,暴行事件について,電話
79,2025/6/18,その他,ポルトガル語,電話代二重払いについて,来所
80,2025/6/18,年金,ベトナム語,年金保険料の未納について,電話
81,2025/6/18,その他,タガログ語,住民票の取得,電話
82,2025/6/18,税金,タガログ語,非課税世帯の確認,来所
83,2025/6/18,結婚・離婚,タガログ語,書類の確認,来所
84,2025/6/18,求職・雇用,日本語（ペルー）,就労相談について,電話
85,2025/6/18,入管手続,スペイン語,ビザの更新について,電話
86,2025/6/19,その他,ポルトガル語,電話代二重払いについて,電話
87,2025/6/19,税金,スペイン語,窓口で通訳について,電話
88,2025/6/19,交通・運転免許,日本語（ベトナム）,後見人の認定について,電話
89,2025/6/19,医療,英語,病院の予約をキャンセルしたい,電話
90,2025/6/19,出産・子育て全般,日本語（フィリピン）,子どもの医療費助成（マルフク）の申請について,電話
91,2025/6/20,入管手続,日本語（ブラジル）,在留資格について,電話
92,2025/6/20,その他,ポルトガル語,クレジットカードについて,電話
93,2025/6/20,雇労（その他）,スペイン語,自己都合退職について,電話
94,2025/6/20,その他,ポルトガル語,クレジットカード払いについて,電話
95,2025/6/20,その他,スペイン語,金子さんと相談したい,電話
96,2025/6/23,税金,スペイン語,介護保険料の支払い,来所
97,2025/6/23,医療,スペイン語,帯状疱疹について,来所
98,2025/6/24,その他,スペイン語,低所得者向けの支援金について,電話
99,2025/6/24,ＤＶ,ポルトガル語,弁護士相談について,電話
100,2025/6/24,結婚・離婚,タガログ語,家庭裁判での調停について,来所
101,2025/6/24,医療,タガログ語,紹介状について,電話
102,2025/6/25,年金,日本語（ベトナム）,退職した方を再度採用することについて,電話
103,2025/6/25,税金,スペイン語,国民健康保険料について,来所
104,2025/6/25,雇労（その他）,スペイン語,賃金払いについて,電話
105,2025/6/26,その他,日本語（中国）,個人間のお金請求について　,電話
106,2025/6/26,ＤＶ,ポルトガル語,妻に電話を,電話
107,2025/6/26,その他,スペイン語,マイナンバーカードの更新について,来所
108,2025/6/26,税金,スペイン語,国民保険料について,来所
109,2025/6/26,年金,スペイン語,国民年金の請求について,来所
110,2025/6/26,医療,タガログ語,健康診断の結果について,電話
111,2025/6/26,その他,タガログ語,傷病手当について,電話
112,2025/6/27,その他,ポルトガル語,クレジットカードの借金について,電話
113,2025/6/27,雇労（その他）,スペイン語,給料の支払いについて,電話
114,2025/6/27,入管手続,タガログ語,在留資格の更新,電話
115,2025/6/27,社会保険,タガログ語,傷病手当,電話
116,2025/6/30,日本語学習,日本語（フィリピン）,日本語教室,来所
117,2025/6/30,その他,ポルトガル語,貸付金返済,電話
118,2025/6/30,その他,ポルトガル語,食糧支援,電話
119,2025/6/30,その他,タガログ語,銀行カード（ATM Card）について,電話
120,2025/6/30,入管手続,タガログ語,在留資格認定証明書交付申請,電話
121,2025/6/30,社会保険,ポルトガル語,労災と傷病手当について,電話
122,2025/6/30,社会保険,ポルトガル語,傷病手当について,電話
123,2025/6/30,医療,タガログ語,夫の重篤な健康状態について,電話
124,2025/6/30,求職・雇用,日本語（フィリピン）,内職を探したい,来所
125,2025/6/30,雇労（その他）,ポルトガル語,解雇の理由について,電話
126,2025/6/30,労災,ポルトガル語,労災の判断について,電話
127,2025/6/30,雇労（その他）,ポルトガル語,労働の相談について,電話
