,相談年月日,相談区分,対応言語名,相談概要,相談方法
1,2025/7/1,その他,ポルトガル語,フードバンクの受け取り,電話
2,2025/7/1,求職・雇用,日本語（ネパール）,履歴書を書く支援,電話
3,2025/7/2,その他,ポルトガル語,警察署での通訳をお願いします。,電話
4,2025/7/2,住宅,ポルトガル語,収入申告書について,来所
5,2025/7/2,医療,ポルトガル語,市役所からの手紙について,来所
6,2025/7/2,求職・雇用,ポルトガル語,仕事の面接に行く職場について,来所
7,2025/7/2,入管手続,タガログ語,調停の結果について,電話
8,2025/7/2,医療,ポルトガル語,新型コロナウイルスワクチンの副反応について,電話
9,2025/7/2,その他,スペイン語,悩み事について,電話
10,2025/7/3,出産・子育て全般,ポルトガル語,まるふく更新について,電話
11,2025/7/3,その他,日本語（中国）,人権問題,電話
12,2025/7/3,求職・雇用,ポルトガル語,結婚する際の休みについて,電話
13,2025/7/3,住宅,ポルトガル語,請求書が届いた,電話
14,2025/7/4,結婚・離婚,日本語（ベトナム）,ベトナム人との結婚,電話
15,2025/7/4,年金,日本語（ベトナム）,脱退一時金の説明,電話
16,2025/7/4,税金,日本語（ベトナム）,非課税証明書について,電話
17,2025/7/4,求職・雇用,ポルトガル語,履歴書の書き方について,電話
18,2025/7/4,結婚・離婚,タガログ語,慰謝料,電話
19,2025/7/4,結婚・離婚,タガログ語,外国離婚の承認裁判について,電話
20,2025/7/4,出産・子育て全般,タガログ語,出産手当について,その他
21,2025/7/4,日本語学習,英語,日本語を学びたい,来所
22,2025/7/4,入管手続,英語,在留資格の変更　（難民と教員ビザについて）,来所
23,2025/7/4,住宅,英語,住まい探し,来所
24,2025/7/4,求職・雇用,英語,英語教師について,来所
25,2025/7/4,その他,英語,チケットの予約,電話
26,2025/7/4,その他,日本語（日本）,移住サポートについて,来所
27,2025/7/7,労災,ポルトガル語,労災申請の記入,電話
28,2025/7/7,出産・子育て全般,ポルトガル語,オムツの注文,電話
29,2025/7/7,求職・雇用,ポルトガル語,会社の面接,電話
30,2025/7/7,雇労（その他）,ポルトガル語,入管手続きのアルバイト,電話
31,2025/7/7,労災,ポルトガル語,労災について,電話
32,2025/7/7,雇労（その他）,ポルトガル語,労基の連絡先,電話
33,2025/7/7,年金,ベトナム語,脱退一時金について,E-Mail
34,2025/7/7,結婚・離婚,ベトナム語,日本とベトナムでの結婚の手続きについて,E-Mail
35,2025/7/7,その他,タガログ語,貸付金の返済について,電話
36,2025/7/7,求職・雇用,タガログ語,仕事探し,電話
37,2025/7/7,その他,英語,英語で受けれるカウンセリング,電話
38,2025/7/8,その他,日本語（ブラジル）,末期患者に関する手続き,電話
39,2025/7/8,税金,ポルトガル語,税金申告について,電話
40,2025/7/8,出産・子育て全般,日本語（フィリピン）,中学生の出産,電話
41,2025/7/8,求職・雇用,日本語（その他）,求人ポスターの掲示依頼,E-Mail
42,2025/7/8,医療,日本語（ペルー）,相談者についての相談,電話
43,2025/7/9,その他,日本語（その他）,食糧支援希望,E-Mail
44,2025/7/9,その他,日本語（その他）,法律相談について,電話
45,2025/7/9,労災,スペイン語,労災申請について,来所
46,2025/7/9,求職・雇用,ポルトガル語,個人事業主について,電話
47,2025/7/9,その他,ポルトガル語,携帯電話が通話停止について,電話
48,2025/7/9,その他,英語,警察犯罪経歴証明書,E-Mail
49,2025/7/10,その他,ポルトガル語,携帯電話・自動車ローンについて,電話
50,2025/7/10,労災,スペイン語,労災申請について,電話
51,2025/7/10,求職・雇用,ポルトガル語,起業開業について,電話
52,2025/7/10,住宅,スペイン語,水漏れ修理の処理について,電話
53,2025/7/10,その他,日本語（ベトナム）,貸付の免除することについてベトナム語通訳,電話
54,2025/7/10,その他,日本語（ベトナム）,婚約者に送った書類について,電話
55,2025/7/11,労災,日本語（ペルー）,労災申請について,電話
56,2025/7/11,労災,スペイン語,労災申請について,電話
57,2025/7/11,医療,タガログ語,高額医療費制度　限度額適用認定証,電話
58,2025/7/11,出産・子育て全般,タガログ語,出産一時金,E-Mail
59,2025/7/14,住宅,日本語（ブラジル）,火災保険の利用について　,電話
60,2025/7/14,その他,ポルトガル語,カードの紛失,来所
61,2025/7/14,日本語学習,ポルトガル語,日本語を学びたい,来所
62,2025/7/14,その他,タガログ語,生活保護受給証明書について,電話
63,2025/7/14,その他,タガログ語,緊急貸付金の返済について,電話
64,2025/7/14,入管手続,タガログ語,在留資格証明書について,電話
65,2025/7/14,出産・子育て全般,タガログ語,出産一時金について,E-Mail
66,2025/7/14,入管手続,タガログ語,ビザ申請について,電話
67,2025/7/14,その他,中国語,知り合いが貸したお金を返さない,来所
68,2025/7/14,労災,日本語（ペルー）,労災申請について,電話
69,2025/7/14,雇労（その他）,スペイン語,訪問の用件について,電話
70,2025/7/14,住宅,ポルトガル語,大家さんとのトラブルについて,電話
71,2025/7/14,医療,日本語（フィリピン）,入院患者への通訳について,電話
72,2025/7/15,医療,日本語（フィリピン）,入院中の患者の通訳について,電話
73,2025/7/16,社会保険,ポルトガル語,療養の不支給について,電話
74,2025/7/16,住宅,スペイン語,火災保険について,電話
75,2025/7/16,入管手続,ポルトガル語,在留資格認定書について,電話
76,2025/7/16,通訳・翻訳,タガログ語,翻訳について,来所
77,2025/7/16,その他,タガログ語,相続放棄,来所
78,2025/7/16,その他,タガログ語,火葬した遺骨を海外に持ち出す,来所
79,2025/7/16,結婚・離婚,タガログ語,日本で結婚と外国での離婚の司法承認について,電話
80,2025/7/16,その他,タガログ語,旅行会社について,電話
81,2025/7/16,通訳・翻訳,タガログ語,英語の翻訳について,電話
82,2025/7/16,通訳・翻訳,日本語（フィリピン）,タガログ語通訳の依頼。,電話
83,2025/7/16,入管手続,タガログ語,永住権申請について,電話
84,2025/7/16,入管手続,タガログ語,タガログ語通訳の依頼。,電話
85,2025/7/16,ＤＶ,ポルトガル語,悩み事について,電話
86,2025/7/16,社会保険,ポルトガル語,傷病手当の申請について,電話
87,2025/7/16,税金,ポルトガル語,国民健康保険について,電話
88,2025/7/17,住宅,日本語（ペルー）,火災保険について,電話
89,2025/7/17,入管手続,ポルトガル語,在留資格認定書について,電話
90,2025/7/18,労災,ポルトガル語,労災申請について,電話
91,2025/7/18,出産・子育て全般,日本語（ブラジル）,出生届けについて,電話
92,2025/7/18,年金,ポルトガル語,国民年金の支払いについて,電話
93,2025/7/18,その他,日本語（中国）,中国語ができる弁護士について,電話
94,2025/7/18,労災,日本語（ペルー）,労災申請の引き下げについて,電話
95,2025/7/18,求職・雇用,日本語（ペルー）,求人募集について,電話
96,2025/7/18,教育全般,タガログ語,高校生等奨学給付金について,電話
97,2025/7/22,その他,ポルトガル語,携帯電話料金の支払いについて,来所
98,2025/7/22,求職・雇用,日本語（ブラジル）,求人について通訳,電話
99,2025/7/23,社会保険,ポルトガル語,出産手当金について,電話
100,2025/7/23,求職・雇用,ポルトガル語,面接場所について,電話
101,2025/7/23,その他,ベトナム語,窃盗事件について,電話
102,2025/7/23,税金,日本語（ベトナム）,非課税証明書の交付について通訳依頼,電話
103,2025/7/23,その他,タガログ語,休眠アカウントについて,その他
104,2025/7/24,その他,ポルトガル語,クレジットカードについて,電話
105,2025/7/24,その他,日本語（ブラジル）,ボランティア通訳について,電話
106,2025/7/25,住宅,スペイン語,火災保険の手続きについて,電話
107,2025/7/25,住宅,日本語（その他）,賃貸契約について,電話
108,2025/7/25,その他,英語,ビザと荷物の預け入れについて,電話
109,2025/7/28,求職・雇用,ポルトガル語,雇用保険について,電話
110,2025/7/28,雇労（その他）,ポルトガル語,妊娠による解雇,電話
111,2025/7/28,ＤＶ,ポルトガル語,家族を探してほしい,電話
112,2025/7/28,社会保険,ポルトガル語,出産手当金,電話
113,2025/7/28,その他,ポルトガル語,エアコンの設置等,電話
